curb_loc,tree_dbh,status,health,spc_common
OnCurb,8,Alive,Good,pin oak
OnCurb,11,Alive,Good,pin oak
OnCurb,4,Dead,NA,NA
OnCurb,15,Alive,Good,pin oak
OnCurb,4,Alive,Fair,pin oak
OnCurb,6,Alive,Good,pin oak
OffsetFromCurb,18,Alive,Good,pin oak
OffsetFromCurb,13,Alive,Good,pin oak
OnCurb,8,Alive,Fair,red maple
OnCurb,5,Alive,Good,pin oak
OffsetFromCurb,4,Alive,Good,Callery pear
OnCurb,10,Alive,Good,Callery pear
OnCurb,16,Alive,Good,Callery pear
OffsetFromCurb,18,Alive,Good,pin oak
OnCurb,14,Alive,Good,Japanese zelkova
OnCurb,3,Alive,Good,northern red oak
OnCurb,12,Alive,Good,honeylocust
OnCurb,12,Alive,Good,London planetree
OffsetFromCurb,30,Alive,Good,American elm
OnCurb,10,Alive,Good,honeylocust
OnCurb,10,Alive,Good,littleleaf linden
OffsetFromCurb,4,Alive,Good,littleleaf linden
OnCurb,12,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OffsetFromCurb,11,Alive,Good,Callery pear
OnCurb,5,Alive,Good,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,4,Alive,Poor,Callery pear
OnCurb,0,Stump,NA,NA
OnCurb,4,Alive,Good,Japanese zelkova
OnCurb,16,Alive,Good,London planetree
OnCurb,3,Alive,Good,northern red oak
OffsetFromCurb,6,Alive,Good,Japanese zelkova
OffsetFromCurb,5,Alive,Good,Japanese zelkova
OnCurb,12,Alive,Good,Japanese zelkova
OnCurb,3,Alive,Fair,northern red oak
OnCurb,7,Alive,Good,Callery pear
OnCurb,5,Alive,Good,Callery pear
OnCurb,3,Alive,Good,Callery pear
OnCurb,8,Alive,Good,Callery pear
OnCurb,7,Alive,Good,Callery pear
OnCurb,3,Alive,Good,Japanese zelkova
OnCurb,2,Alive,Good,Kentucky coffeetree
OnCurb,4,Alive,Good,Kentucky coffeetree
OnCurb,5,Alive,Good,hawthorn
OffsetFromCurb,3,Alive,Good,hawthorn
OnCurb,8,Alive,Good,littleleaf linden
OnCurb,9,Alive,Poor,London planetree
OnCurb,5,Dead,NA,NA
OnCurb,8,Alive,Good,Japanese zelkova
OnCurb,5,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,18,Alive,Fair,London planetree
OnCurb,3,Alive,Good,black oak
OffsetFromCurb,13,Alive,Fair,London planetree
OnCurb,8,Alive,Good,American elm
OnCurb,16,Alive,Good,Japanese zelkova
OnCurb,26,Alive,Good,London planetree
OnCurb,0,Stump,NA,NA
OnCurb,5,Dead,NA,NA
OnCurb,14,Alive,Good,London planetree
OnCurb,4,Alive,Poor,London planetree
OnCurb,3,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,7,Alive,Good,hardy rubber tree
OnCurb,5,Alive,Good,Japanese zelkova
OnCurb,6,Alive,Good,Japanese zelkova
OnCurb,4,Alive,Fair,Japanese zelkova
OnCurb,3,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,7,Alive,Fair,Callery pear
OnCurb,5,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,13,Alive,Good,Callery pear
OnCurb,8,Alive,Fair,Callery pear
OnCurb,10,Alive,Poor,Callery pear
OnCurb,2,Alive,Good,Kentucky coffeetree
OnCurb,3,Alive,Good,Kentucky coffeetree
OnCurb,3,Alive,Fair,Kentucky coffeetree
OnCurb,9,Alive,Good,Japanese tree lilac
OnCurb,2,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OffsetFromCurb,4,Alive,Good,London planetree
OnCurb,8,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,8,Alive,Poor,mulberry
OnCurb,12,Alive,Good,Callery pear
OnCurb,5,Alive,Fair,Callery pear
OnCurb,11,Alive,Poor,Callery pear
OnCurb,11,Alive,Poor,Callery pear
OnCurb,3,Dead,NA,NA
OnCurb,8,Alive,Good,London planetree
OffsetFromCurb,12,Alive,Good,London planetree
OffsetFromCurb,28,Alive,Good,American elm
OnCurb,2,Alive,Fair,willow oak
OnCurb,11,Alive,Fair,London planetree
OnCurb,4,Dead,NA,NA
OffsetFromCurb,2,Dead,NA,NA
OnCurb,10,Alive,Good,littleleaf linden
OnCurb,8,Alive,Fair,littleleaf linden
OnCurb,12,Alive,Poor,London planetree
OnCurb,11,Alive,Poor,willow oak
OnCurb,14,Alive,Good,London planetree
OnCurb,7,Alive,Good,American elm
OnCurb,19,Alive,Good,Japanese tree lilac
OnCurb,5,Alive,Fair,hardy rubber tree
OnCurb,15,Alive,Fair,American elm
OnCurb,17,Alive,Fair,London planetree
OnCurb,14,Alive,Fair,London planetree
OnCurb,17,Alive,Good,American elm
OnCurb,3,Alive,Good,London planetree
OnCurb,2,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,7,Alive,Good,Japanese zelkova
OnCurb,4,Alive,Fair,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,18,Alive,Fair,London planetree
OnCurb,4,Alive,Good,Japanese zelkova
OnCurb,12,Alive,Poor,willow oak
OnCurb,11,Alive,Good,willow oak
OnCurb,9,Dead,NA,NA
OnCurb,4,Alive,Fair,northern red oak
OnCurb,5,Alive,Good,green ash
OnCurb,11,Alive,Fair,London planetree
OnCurb,19,Alive,Good,willow oak
OnCurb,6,Alive,Good,Japanese zelkova
OnCurb,4,Alive,Poor,Japanese zelkova
OnCurb,3,Dead,NA,NA
OffsetFromCurb,6,Alive,Good,'Schubert' chokecherry
OnCurb,7,Alive,Good,Japanese zelkova
OnCurb,17,Alive,Fair,London planetree
OnCurb,0,Stump,NA,NA
OnCurb,13,Alive,Good,London planetree
OnCurb,10,Alive,Fair,ginkgo
OnCurb,11,Alive,Good,honeylocust
OffsetFromCurb,2,Alive,Good,crab apple
OnCurb,10,Alive,Good,honeylocust
OnCurb,15,Alive,Good,London planetree
OnCurb,11,Alive,Fair,London planetree
OnCurb,12,Alive,Good,pin oak
OnCurb,4,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,2,Alive,Good,crab apple
OnCurb,9,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,12,Alive,Good,honeylocust
OnCurb,0,Stump,NA,NA
OnCurb,10,Alive,Good,Japanese zelkova
OnCurb,9,Dead,NA,NA
OnCurb,10,Alive,Good,London planetree
OnCurb,9,Alive,Good,green ash
OffsetFromCurb,0,Stump,NA,NA
OnCurb,4,Dead,NA,NA
OnCurb,6,Alive,Good,northern red oak
OnCurb,5,Alive,Fair,littleleaf linden
OnCurb,3,Alive,Poor,American linden
OnCurb,7,Alive,Good,honeylocust
OnCurb,8,Alive,Fair,London planetree
OnCurb,12,Alive,Fair,London planetree
OnCurb,9,Alive,Good,honeylocust
OffsetFromCurb,3,Alive,Good,American linden
OnCurb,4,Alive,Good,ginkgo
OnCurb,9,Alive,Fair,ginkgo
OnCurb,5,Alive,Good,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,3,Alive,Good,honeylocust
OnCurb,15,Alive,Good,honeylocust
OffsetFromCurb,11,Alive,Good,scarlet oak
OffsetFromCurb,4,Alive,Good,swamp white oak
OnCurb,6,Dead,NA,NA
OnCurb,5,Dead,NA,NA
OnCurb,7,Dead,NA,NA
OnCurb,11,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,8,Alive,Good,ginkgo
OnCurb,11,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,14,Alive,Poor,London planetree
OnCurb,8,Alive,Good,crab apple
OnCurb,7,Alive,Good,crab apple
OnCurb,4,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,American linden
OnCurb,12,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,10,Alive,Good,ginkgo
OnCurb,3,Alive,Good,honeylocust
OnCurb,11,Alive,Good,littleleaf linden
OnCurb,0,Stump,NA,NA
OffsetFromCurb,2,Alive,Good,crab apple
OnCurb,14,Alive,Good,honeylocust
OnCurb,9,Alive,Good,crab apple
OnCurb,8,Alive,Good,crab apple
OnCurb,10,Alive,Good,ginkgo
OnCurb,9,Alive,Good,honeylocust
OnCurb,2,Alive,Fair,American linden
OnCurb,9,Alive,Fair,honeylocust
OnCurb,4,Alive,Poor,littleleaf linden
OnCurb,3,Alive,Good,littleleaf linden
OnCurb,2,Alive,Good,littleleaf linden
OnCurb,8,Alive,Good,honeylocust
OnCurb,3,Alive,Good,crab apple
OffsetFromCurb,4,Alive,Good,ginkgo
OffsetFromCurb,6,Alive,Good,swamp white oak
OnCurb,8,Alive,Good,swamp white oak
OnCurb,7,Alive,Good,honeylocust
OnCurb,8,Alive,Good,honeylocust
OnCurb,13,Alive,Good,ginkgo
OnCurb,6,Alive,Poor,ginkgo
OnCurb,15,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,8,Alive,Good,ginkgo
OnCurb,7,Alive,Good,littleleaf linden
OnCurb,14,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,honeylocust
OffsetFromCurb,5,Alive,Good,crab apple
OnCurb,4,Alive,Fair,bald cypress
OnCurb,11,Alive,Good,honeylocust
OnCurb,6,Alive,Good,crab apple
OnCurb,7,Alive,Good,crab apple
OnCurb,8,Alive,Good,honeylocust
OnCurb,8,Alive,Good,honeylocust
OnCurb,11,Alive,Fair,honeylocust
OnCurb,11,Alive,Good,'Schubert' chokecherry
OnCurb,3,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,15,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,5,Alive,Fair,honeylocust
OnCurb,11,Alive,Good,American linden
OnCurb,3,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,3,Alive,Poor,littleleaf linden
OnCurb,7,Alive,Fair,littleleaf linden
OnCurb,10,Alive,Good,littleleaf linden
OnCurb,8,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,11,Alive,Good,ginkgo
OffsetFromCurb,5,Alive,Good,crab apple
OnCurb,9,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,12,Alive,Good,honeylocust
OnCurb,2,Alive,Good,American linden
OnCurb,12,Alive,Good,honeylocust
OnCurb,13,Alive,Good,ginkgo
OnCurb,12,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,5,Alive,Fair,honeylocust
OnCurb,4,Alive,Good,English oak
OnCurb,2,Alive,Good,pin oak
OnCurb,6,Alive,Good,pin oak
OnCurb,12,Alive,Good,London planetree
OnCurb,27,Alive,Good,London planetree
OnCurb,2,Alive,Fair,American linden
OnCurb,6,Alive,Good,honeylocust
OnCurb,16,Alive,Good,honeylocust
OnCurb,10,Alive,Good,ginkgo
OnCurb,9,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,12,Alive,Fair,London planetree
OnCurb,3,Alive,Fair,London planetree
OnCurb,14,Alive,Good,London planetree
OnCurb,10,Alive,Good,honeylocust
OnCurb,18,Alive,Good,ginkgo
OnCurb,11,Alive,Good,ginkgo
OnCurb,6,Alive,Good,honeylocust
OnCurb,3,Alive,Good,common hackberry
OnCurb,11,Alive,Good,pin oak
OnCurb,2,Alive,Good,American linden
OnCurb,8,Alive,Good,honeylocust
OnCurb,8,Alive,Good,honeylocust
OnCurb,4,Alive,Good,pin oak
OnCurb,12,Alive,Good,pin oak
OnCurb,11,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,7,Alive,Fair,littleleaf linden
OnCurb,8,Alive,Good,littleleaf linden
OnCurb,5,Alive,Fair,littleleaf linden
OnCurb,8,Alive,Good,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,4,Alive,Good,American linden
OnCurb,8,Alive,Good,honeylocust
OnCurb,8,Alive,Fair,ginkgo
OnCurb,16,Alive,Good,honeylocust
OnCurb,5,Alive,Good,bald cypress
OnCurb,14,Alive,Good,pin oak
OnCurb,5,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,ginkgo
OnCurb,14,Alive,Good,honeylocust
OnCurb,16,Alive,Fair,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,6,Alive,Good,pin oak
OnCurb,8,Alive,Good,honeylocust
OnCurb,9,Alive,Poor,ginkgo
OnCurb,4,Alive,Good,pin oak
OnCurb,14,Alive,Good,pin oak
OnCurb,4,Alive,Fair,pin oak
OnCurb,12,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,6,Alive,Fair,honeylocust
OnCurb,16,Alive,Good,honeylocust
OnCurb,16,Alive,Poor,honeylocust
OnCurb,6,Alive,Good,crab apple
OnCurb,15,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,9,Alive,Good,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,13,Alive,Good,ginkgo
OnCurb,6,Alive,Good,ginkgo
OnCurb,2,Alive,Good,ginkgo
OnCurb,14,Alive,Fair,pin oak
OnCurb,8,Alive,Fair,honeylocust
OnCurb,14,Alive,Poor,American linden
OnCurb,4,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,11,Alive,Good,pin oak
OnCurb,2,Alive,Good,red maple
OffsetFromCurb,9,Alive,Good,pin oak
OnCurb,11,Alive,Good,pin oak
OnCurb,6,Alive,Fair,pin oak
OnCurb,11,Alive,Fair,pin oak
OnCurb,6,Alive,Fair,pin oak
OnCurb,4,Alive,Fair,red maple
OnCurb,11,Alive,Good,pin oak
OnCurb,4,Alive,Good,pin oak
OnCurb,7,Alive,Good,pin oak
OnCurb,18,Alive,Good,pin oak
OnCurb,5,Alive,Good,pin oak
OnCurb,2,Alive,Good,pin oak
OnCurb,4,Alive,Good,English oak
OnCurb,5,Alive,Good,pin oak
OnCurb,5,Alive,Good,pin oak
OnCurb,9,Alive,Good,pin oak
OnCurb,20,Alive,Good,pin oak
OnCurb,16,Alive,Good,pin oak
OnCurb,4,Alive,Good,pin oak
OnCurb,3,Alive,Good,red maple
OnCurb,12,Alive,Good,pin oak
OnCurb,8,Alive,Good,pin oak
OnCurb,7,Alive,Fair,pin oak
OnCurb,8,Alive,Fair,pin oak
OnCurb,15,Alive,Good,pin oak
OnCurb,13,Alive,Good,cherry
OffsetFromCurb,14,Alive,Good,pin oak
OnCurb,0,Stump,NA,NA
OnCurb,4,Alive,Good,northern red oak
OnCurb,5,Alive,Good,Japanese zelkova
OnCurb,2,Alive,Good,Sophora
OnCurb,8,Alive,Good,Sophora
OnCurb,12,Alive,Good,pin oak
OnCurb,7,Alive,Good,Sophora
OnCurb,7,Alive,Good,Sophora
OnCurb,9,Alive,Poor,cucumber magnolia
OnCurb,8,Alive,Poor,paperbark maple
OnCurb,3,Alive,Good,pin oak
OnCurb,4,Alive,Fair,pin oak
OnCurb,8,Alive,Fair,pin oak
OnCurb,15,Alive,Good,Callery pear
OffsetFromCurb,12,Alive,Good,Callery pear
OnCurb,11,Alive,Fair,Callery pear
OnCurb,9,Alive,Good,Callery pear
OnCurb,4,Alive,Good,Callery pear
OnCurb,12,Alive,Good,Japanese zelkova
OnCurb,6,Alive,Poor,Japanese zelkova
OnCurb,9,Alive,Good,Japanese zelkova
OnCurb,3,Alive,Good,northern red oak
OnCurb,15,Alive,Good,pin oak
OnCurb,17,Alive,Good,pin oak
OnCurb,8,Alive,Fair,pin oak
OnCurb,5,Alive,Fair,Japanese zelkova
OnCurb,0,Stump,NA,NA
OffsetFromCurb,5,Alive,Good,Japanese zelkova
OffsetFromCurb,11,Alive,Good,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,8,Alive,Fair,Japanese zelkova
OnCurb,7,Alive,Good,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,3,Alive,Good,pin oak
OnCurb,13,Alive,Fair,pin oak
OnCurb,11,Alive,Good,Japanese zelkova
OffsetFromCurb,17,Alive,Good,pin oak
OffsetFromCurb,3,Alive,Good,pin oak
OnCurb,3,Alive,Good,pin oak
OnCurb,7,Alive,Good,Callery pear
OnCurb,3,Alive,Good,northern red oak
OnCurb,2,Alive,Good,Chinese elm
OnCurb,8,Alive,Good,pin oak
OnCurb,11,Alive,Good,pin oak
OnCurb,9,Alive,Good,pin oak
OnCurb,13,Alive,Fair,Callery pear
OnCurb,4,Alive,Fair,Callery pear
OnCurb,9,Alive,Good,Callery pear
OnCurb,7,Alive,Good,Callery pear
OnCurb,18,Alive,Good,Callery pear
OffsetFromCurb,4,Dead,NA,NA
OffsetFromCurb,3,Dead,NA,NA
OffsetFromCurb,8,Alive,Fair,pin oak
OnCurb,3,Alive,Good,Japanese zelkova
OffsetFromCurb,0,Stump,NA,NA
OnCurb,4,Alive,Good,pin oak
OnCurb,11,Alive,Good,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,5,Dead,NA,NA
OnCurb,3,Dead,NA,NA
OnCurb,7,Alive,Fair,pin oak
OnCurb,0,Stump,NA,NA
OnCurb,10,Alive,Good,pin oak
OnCurb,12,Alive,Good,Japanese zelkova
OnCurb,16,Alive,Good,Callery pear
OnCurb,23,Alive,Good,Callery pear
OnCurb,2,Alive,Good,Japanese zelkova
OnCurb,6,Alive,Good,Japanese zelkova
OnCurb,5,Alive,Good,northern red oak
OnCurb,7,Alive,Good,Callery pear
OnCurb,9,Alive,Poor,Callery pear
OnCurb,9,Alive,Fair,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,14,Alive,Good,Callery pear
OnCurb,15,Alive,Good,Callery pear
OnCurb,8,Alive,Poor,Callery pear
OnCurb,18,Alive,Good,Callery pear
OnCurb,6,Alive,Poor,Callery pear
OnCurb,7,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,10,Alive,Good,Callery pear
OnCurb,8,Alive,Good,Callery pear
OnCurb,12,Alive,Fair,Callery pear
OnCurb,13,Alive,Poor,Callery pear
OnCurb,10,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,12,Alive,Poor,Callery pear
OnCurb,8,Alive,Good,Callery pear
OnCurb,7,Alive,Good,Callery pear
OnCurb,4,Dead,NA,NA
OnCurb,7,Dead,NA,NA
OnCurb,3,Alive,Good,Japanese zelkova
OnCurb,4,Alive,Fair,Japanese zelkova
OnCurb,4,Alive,Good,Japanese zelkova
OnCurb,9,Alive,Good,Japanese zelkova
OnCurb,11,Alive,Good,northern red oak
OnCurb,6,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,15,Alive,Good,Japanese zelkova
OnCurb,3,Alive,Good,Callery pear
OnCurb,5,Alive,Good,northern red oak
OnCurb,4,Dead,NA,NA
OnCurb,4,Alive,Good,Japanese zelkova
OnCurb,15,Alive,Good,Japanese zelkova
OnCurb,5,Alive,Poor,Japanese zelkova
OnCurb,8,Dead,NA,NA
OnCurb,4,Dead,NA,NA
OnCurb,3,Alive,Fair,northern red oak
OnCurb,2,Alive,Good,northern red oak
OnCurb,5,Alive,Poor,northern red oak
OnCurb,5,Dead,NA,NA
OnCurb,3,Alive,Good,northern red oak
OnCurb,5,Alive,Good,Japanese zelkova
OnCurb,19,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,4,Alive,Good,Callery pear
OnCurb,12,Alive,Fair,Callery pear
OnCurb,3,Dead,NA,NA
OnCurb,14,Alive,Good,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,10,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Japanese zelkova
OnCurb,10,Alive,Good,honeylocust
OnCurb,2,Dead,NA,NA
OnCurb,11,Alive,Fair,northern red oak
OnCurb,2,Alive,Good,American linden
OnCurb,8,Alive,Good,ginkgo
OnCurb,11,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,12,Alive,Fair,honeylocust
OnCurb,2,Alive,Good,crab apple
OnCurb,10,Alive,Fair,Callery pear
OnCurb,15,Alive,Fair,Chinese elm
OnCurb,11,Alive,Good,Japanese zelkova
OnCurb,12,Alive,Good,Japanese zelkova
OffsetFromCurb,12,Alive,Good,green ash
OnCurb,5,Dead,NA,NA
OnCurb,5,Alive,Fair,northern red oak
OnCurb,19,Alive,Good,Callery pear
OnCurb,7,Alive,Good,Callery pear
OffsetFromCurb,10,Alive,Good,green ash
OnCurb,12,Alive,Fair,Japanese zelkova
OnCurb,9,Alive,Good,northern red oak
OffsetFromCurb,3,Alive,Good,American linden
OnCurb,2,Alive,Poor,ginkgo
OnCurb,9,Alive,Good,honeylocust
OnCurb,14,Alive,Good,ginkgo
OnCurb,15,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,11,Alive,Fair,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,3,Dead,NA,NA
OnCurb,9,Alive,Good,Japanese zelkova
OnCurb,10,Alive,Good,Callery pear
OnCurb,6,Alive,Poor,Callery pear
OnCurb,3,Alive,Good,Japanese zelkova
OffsetFromCurb,6,Alive,Good,purple-leaf plum
OnCurb,9,Dead,NA,NA
OnCurb,5,Alive,Fair,Japanese zelkova
OnCurb,3,Alive,Good,ginkgo
OnCurb,11,Alive,Good,honeylocust
OffsetFromCurb,4,Alive,Good,honeylocust
OnCurb,6,Alive,Fair,northern red oak
OnCurb,5,Alive,Good,Japanese zelkova
OnCurb,4,Dead,NA,NA
OnCurb,7,Alive,Good,ginkgo
OnCurb,10,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,ginkgo
OnCurb,12,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,7,Alive,Good,Japanese zelkova
OnCurb,3,Dead,NA,NA
OnCurb,8,Alive,Good,Japanese zelkova
OnCurb,10,Alive,Good,honeylocust
OnCurb,11,Alive,Good,northern red oak
OnCurb,8,Alive,Good,Japanese zelkova
OnCurb,9,Dead,NA,NA
OnCurb,11,Alive,Good,Japanese zelkova
OnCurb,13,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,1,Alive,Fair,ginkgo
OnCurb,3,Dead,NA,NA
OffsetFromCurb,3,Dead,NA,NA
OnCurb,9,Alive,Good,ginkgo
OnCurb,9,Alive,Good,honeylocust
OnCurb,2,Alive,Good,honeylocust
OnCurb,9,Alive,Fair,honeylocust
OnCurb,3,Alive,Fair,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,7,Alive,Good,ginkgo
OnCurb,8,Alive,Fair,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,2,Alive,Good,honeylocust
OnCurb,7,Alive,Fair,ginkgo
OnCurb,6,Alive,Fair,honeylocust
OnCurb,14,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,4,Alive,Fair,Callery pear
OnCurb,9,Alive,Good,honeylocust
OffsetFromCurb,9,Alive,Fair,green ash
OnCurb,11,Alive,Good,northern red oak
OnCurb,4,Alive,Poor,Callery pear
OnCurb,12,Alive,Good,Callery pear
OnCurb,3,Alive,Good,Callery pear
OnCurb,4,Alive,Good,American linden
OnCurb,13,Alive,Good,honeylocust
OnCurb,14,Alive,Good,honeylocust
OnCurb,8,Alive,Poor,Callery pear
OnCurb,17,Alive,Fair,Callery pear
OnCurb,10,Alive,Poor,Callery pear
OnCurb,3,Alive,Good,honeylocust
OnCurb,12,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,14,Alive,Good,honeylocust
OnCurb,8,Alive,Fair,American linden
OnCurb,8,Alive,Good,ginkgo
OnCurb,14,Alive,Poor,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,3,Alive,Good,golden raintree
OnCurb,3,Alive,Good,golden raintree
OnCurb,5,Alive,Good,honeylocust
OnCurb,4,Alive,Fair,ginkgo
OnCurb,16,Alive,Good,honeylocust
OnCurb,5,Alive,Fair,American linden
OnCurb,13,Alive,Good,honeylocust
OnCurb,5,Alive,Fair,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,14,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OffsetFromCurb,12,Alive,Good,honeylocust
OnCurb,8,Alive,Good,honeylocust
OnCurb,10,Alive,Good,Callery pear
OnCurb,17,Alive,Good,Callery pear
OnCurb,15,Alive,Good,Callery pear
OnCurb,4,Alive,Good,American linden
OnCurb,10,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,11,Alive,Good,ginkgo
OnCurb,11,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,13,Alive,Fair,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,9,Alive,Good,ginkgo
OnCurb,8,Alive,Fair,American linden
OnCurb,9,Alive,Fair,Callery pear
OnCurb,16,Alive,Good,Callery pear
OnCurb,9,Alive,Good,Callery pear
OnCurb,3,Alive,Good,honeylocust
OffsetFromCurb,4,Alive,Good,honeylocust
OnCurb,16,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,8,Alive,Fair,honeylocust
OnCurb,3,Alive,Fair,Callery pear
OnCurb,17,Alive,Good,honeylocust
OnCurb,10,Alive,Good,ginkgo
OnCurb,13,Alive,Good,honeylocust
OnCurb,15,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,11,Alive,Good,cherry
OnCurb,8,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,2,Alive,Good,ginkgo
OnCurb,5,Alive,Fair,Callery pear
OnCurb,5,Alive,Good,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,17,Alive,Good,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,9,Alive,Good,Callery pear
OffsetFromCurb,20,Alive,Good,Callery pear
OffsetFromCurb,16,Alive,Good,Callery pear
OnCurb,3,Alive,Good,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,3,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,17,Alive,Good,Callery pear
OnCurb,13,Alive,Good,Callery pear
OnCurb,14,Alive,Fair,Callery pear
OnCurb,6,Alive,Poor,Callery pear
OnCurb,2,Alive,Good,Callery pear
OnCurb,18,Alive,Good,Callery pear
OnCurb,8,Alive,Good,Callery pear
OffsetFromCurb,15,Alive,Good,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,6,Alive,Fair,Callery pear
OnCurb,9,Alive,Good,Callery pear
OnCurb,4,Alive,Fair,Callery pear
OnCurb,7,Alive,Good,Callery pear
OnCurb,4,Alive,Good,ginkgo
